Loja,Grupo,Subgrupo,              Produto,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total 
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,MOLHOS,168 - MOLHO A CAMPANHA,5,5,2,3,8,6,7,1,5,9,12,9,12,14,9,13,10,2,1,7,9,8,11,5,6,13,9,8,2,4,3,218
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,MOLHOS,170 - MOLHO CAESAR,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,3,0,2,1,2,1,0,1,0,1,1,0,0,1,1,2,22
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,MOLHOS,171 - MOLHO BARBECUE,2,3,1,1,1,0,1,2,5,5,3,3,2,14,2,9,3,2,3,7,3,4,2,3,1,7,4,3,7,3,0,106
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,MOLHOS,172 - MOLHO CHIMICHURRI HEINEKEN,2,1,1,0,1,2,3,0,0,2,2,4,2,0,0,5,0,2,2,0,0,4,2,2,3,2,2,3,2,2,0,51
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,MOLHOS,173 - MOLHO PICLES,2,0,0,1,1,0,2,0,0,0,2,2,1,3,2,0,1,0,0,1,1,1,1,0,0,0,0,2,0,1,1,25
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,MOLHOS,174 - MOLHO MADEIRA,2,0,1,0,2,1,1,2,3,0,0,2,2,2,3,0,1,2,3,2,1,1,2,2,2,4,0,2,1,0,0,44
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,MOLHOS,175 - MOLHO GELEIA DE PIMENTA DEFUMADA,1,4,1,1,0,2,0,1,0,2,3,3,3,2,1,2,1,0,2,4,2,2,1,4,2,1,0,0,2,3,1,51
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,CARIOCA DO NOSSO JEITO,179 - STROGONOFF DE FRANGO INDIVIDUAL,0,1,1,1,0,0,1,2,0,0,0,1,3,3,1,1,2,0,1,0,0,0,1,1,1,0,0,2,1,0,0,24
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,CARIOCA DO NOSSO JEITO,181 - FILE DE FRANGO A PARMEGIANA INDIVIDUAL,1,9,0,1,0,4,2,4,1,2,3,3,1,4,1,1,1,6,3,7,8,3,2,7,2,2,6,1,6,0,0,91
7578 - ESPETTO CARIOCA BARRA MALL,ALIMENTOS,CARIOCA DO NOSSO JEITO,182 - FILE DE CARNE  A MILANESA INDIVIDUAL,0,0,4,2,3,4,4,0,1,0,2,5,2,1,2,4,1,1,2,4,1,2,1,0,1,2,0,0,3,1,0,53
