Loja,Grupo,Subgrupo,              Produto,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total 
7593 - ESPETTO CARIOCA PIRATININGA,BEBIDAS,DESTILADOS,262 - LICOR 43 DOSE,11,11,29,28,5,30,39,55,23,1,35,35,19,8,31,19,34,32,2,0,33,15,6,55,0,10,0,0,5,90,0,661
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,ENTRADAS,263 - MIX DE ENTRADA,1,8,2,1,6,2,2,1,4,6,2,2,2,2,0,2,2,2,2,2,4,3,8,0,1,1,1,1,1,5,0,76
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS TRADICIONAIS,267 - ESPETTO DE PANCETA,0,4,3,0,0,1,0,1,2,2,5,2,4,4,4,2,4,4,3,9,3,3,4,1,3,1,2,3,1,5,0,80
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS PREMIUM,271 - ESPETTO DE PORCO BBQ,0,2,1,0,5,0,1,2,2,1,3,1,1,3,1,1,1,0,1,3,0,1,0,0,1,1,1,0,0,1,0,34
7593 - ESPETTO CARIOCA PIRATININGA,ESPETTOS,ESPETTOS PREMIUM,275 - ESPETTO DE FRANGO A PARMEGIANA,1,0,2,1,1,1,1,4,2,2,5,0,5,4,3,0,4,5,2,1,4,2,2,1,0,2,1,1,1,0,0,58
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,BURGUERS,284 - PORCO AO BARBECUE,1,2,2,0,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,3,4,0,2,2,0,1,2,0,0,0,0,25
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,BURGUERS,289 - BARBACOA BLEND,0,1,0,0,1,2,2,6,3,1,1,1,1,1,0,2,4,3,0,2,4,0,2,0,0,0,1,1,1,3,0,43
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,BURGUERS,293 - CHEF S BURGUER,1,4,4,1,3,1,1,1,0,5,2,0,3,0,4,3,2,2,1,2,4,0,6,1,0,1,4,1,1,0,0,58
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PETISCOS,297 - DERRETIDO SE DERRETE,3,11,7,2,3,14,5,2,8,9,3,5,6,4,6,1,9,2,5,2,6,4,6,2,1,2,0,1,3,8,0,140
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PETISCOS,301 - DELISCAS,8,15,7,6,7,1,7,3,6,7,1,0,7,5,9,7,7,3,0,5,9,4,6,0,0,0,0,0,4,1,0,135
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PETISCOS,302 - PIPOCA DE SEREIA PEIXE,1,0,3,1,3,0,2,1,2,1,1,1,0,1,0,0,3,1,0,2,4,4,0,2,0,0,0,3,2,0,0,38
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PETISCOS,304 - PASTEL 300,1,1,0,1,5,2,0,1,2,3,0,0,2,2,3,0,1,1,0,1,4,1,0,0,0,0,1,1,1,1,0,35
7593 - ESPETTO CARIOCA PIRATININGA,ALIMENTOS,PETISCOS,305 - BATATA FRITA PICANTE 400G,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,10
